run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
19,full_llm_mediated_model,0.036460967136615265,0.05736229808605917,0.17614133490589398,0.27849949792209855,0.32918790534800607,0.5013333333333334,0.174349030828133,0.6174105848258022,0.9425159820399758,1
20,full_llm_mediated_model,0.05130637805430835,0.07057442692513201,0.1543344069942695,0.22490629374065907,0.27342194631563826,0.4980000000000001,0.18756283568512672,0.6291604344964179,0.932450099350254,1
21,full_llm_mediated_model,0.07017393826563707,0.11333014241069796,0.16261050240390834,0.22346252689518942,0.2734631533971704,0.5446666666666667,0.1464392975445607,0.5557513408306276,0.9325072559019927,1
22,full_llm_mediated_model,0.08165724320562388,0.13089882454136106,0.21504883852379864,0.31722470534356384,0.3780792612589994,0.5153333333333334,0.1502253164493035,0.6381808563098508,0.9501738215643855,1
23,full_llm_mediated_model,0.05041719639683076,0.06391768264465056,0.2074303140484928,0.2859377944037387,0.34459078259459835,0.512,0.14404019587223924,0.6180348835732115,0.935112000624075,1
24,full_llm_mediated_model,0.05433951935267382,0.09139022555245882,0.1526782084530295,0.25365504672261974,0.3119044347202057,0.5373333333333334,0.14364154344107904,0.5839329140898247,0.9497293879151465,1
25,full_llm_mediated_model,0.04754449491603526,0.06657456715440516,0.1553142508165151,0.23869468646248834,0.29842291918178143,0.544,0.1892503818850568,0.6463972448428337,0.9331652441985259,1
26,full_llm_mediated_model,0.08809161308978965,0.11307325284445233,0.20022484540249977,0.26386173114810885,0.32920157729267635,0.6106666666666666,0.10789395408513056,0.6247444728181837,0.949014103285775,1
27,full_llm_mediated_model,0.04367365334936384,0.08157974652207492,0.17141065097718805,0.23314697278761082,0.2916049675616034,0.4960000000000001,0.20495000097941277,0.5891117380553571,0.9304781857461423,1
28,full_llm_mediated_model,0.04061725517650001,0.05372541501357816,0.13446901431664074,0.20705115682316516,0.25604542031643596,0.518,0.19463499735558557,0.6156012497358825,0.9347650286029611,1
29,full_llm_mediated_model,0.06875366805788413,0.08841909021318575,0.21890047310828015,0.3013417156974432,0.35811850578042537,0.4673333333333333,0.14792363355598648,0.6464537847959138,0.9233455629337982,1
